model,effect,metric,value,cv1,n
posthoc,fx,var,0.010440271347761154,0.1,1600
posthoc,fr,mspe,0.03269819915294647,0.1,1600
posthoc,fr,bias2,0.02225792407989502,0.1,1600
posthoc,fr,var,0.010440271347761154,0.1,1600
posthoc,fz,mspe,0.0038218998815864325,0.1,1600
posthoc,fz,bias2,1.6861115000210702e-05,0.1,1600
posthoc,fz,var,0.003805038519203663,0.1,1600
posthoc_orth,y,mspe,1.0174880027770996,0.1,1600
posthoc_orth,y,bias2,1.0032905340194702,0.1,1600
posthoc_orth,y,var,0.014197382144629955,0.1,1600
posthoc_orth,fx,mspe,0.030218463391065598,0.1,1600
posthoc_orth,fx,bias2,0.020948007702827454,0.1,1600
posthoc_orth,fx,var,0.009270456619560719,0.1,1600
posthoc_orth,fr,mspe,0.010631239041686058,0.1,1600
posthoc_orth,fr,bias2,0.0013607824221253395,0.1,1600
posthoc_orth,fr,var,0.009270456619560719,0.1,1600
posthoc_orth,fz,mspe,0.022856926545500755,0.1,1600
posthoc_orth,fz,bias2,0.019931914284825325,0.1,1600
posthoc_orth,fz,var,0.002925011795014143,0.1,1600
base,y,mspe,1.0691505670547485,0.2,1600
base,y,bias2,1.061021327972412,0.2,1600
base,y,var,0.008129150606691837,0.2,1600
base,fx,mspe,0.039446860551834106,0.2,1600
base,fx,bias2,0.03350558504462242,0.2,1600
base,fx,var,0.005941275507211685,0.2,1600
base,fr,mspe,0.09381328523159027,0.2,1600
base,fr,bias2,0.08787200599908829,0.2,1600
base,fr,var,0.005941275507211685,0.2,1600
base,fz,mspe,0.07795459032058716,0.2,1600
base,fz,bias2,0.07795459032058716,0.2,1600
base,fz,var,0.0,0.2,1600
posthoc,y,mspe,1.0193229913711548,0.2,1600
posthoc,y,bias2,1.0043126344680786,0.2,1600
posthoc,y,var,0.015010466799139977,0.2,1600
posthoc,fx,mspe,0.012895388528704643,0.2,1600
posthoc,fx,bias2,0.0016410821117460728,0.2,1600
posthoc,fx,var,0.011254305951297283,0.2,1600
posthoc,fr,mspe,0.03382213041186333,0.2,1600
posthoc,fr,bias2,0.02256782539188862,0.2,1600
posthoc,fr,var,0.011254305951297283,0.2,1600
posthoc,fz,mspe,0.004058677237480879,0.2,1600
posthoc,fz,bias2,1.944344512594398e-05,0.2,1600
posthoc,fz,var,0.0040392340160906315,0.2,1600
posthoc_orth,y,mspe,1.0193172693252563,0.2,1600
posthoc_orth,y,bias2,1.0043232440948486,0.2,1600
posthoc_orth,y,var,0.014994070865213871,0.2,1600
posthoc_orth,fx,mspe,0.03127358481287956,0.2,1600
posthoc_orth,fx,bias2,0.021254852414131165,0.2,1600
posthoc_orth,fx,var,0.010018735192716122,0.2,1600
posthoc_orth,fr,mspe,0.0116325244307518,0.2,1600
posthoc_orth,fr,bias2,0.0016137894708663225,0.2,1600
posthoc_orth,fr,var,0.010018735192716122,0.2,1600
posthoc_orth,fz,mspe,0.02285691909492016,0.2,1600
posthoc_orth,fz,bias2,0.019931912422180176,0.2,1600
posthoc_orth,fz,var,0.002925008302554488,0.2,1600
base,y,mspe,1.0693386793136597,0.3,1600
base,y,bias2,1.0608384609222412,0.3,1600
base,y,var,0.008500171825289726,0.3,1600
base,fx,mspe,0.04317229613661766,0.3,1600
base,fx,bias2,0.03667043149471283,0.3,1600
base,fx,var,0.006501867901533842,0.3,1600
base,fr,mspe,0.10050597786903381,0.3,1600
base,fr,bias2,0.09400411695241928,0.3,1600
base,fr,var,0.006501867901533842,0.3,1600
