model,effect,metric,value,n
posthoc_web,fz,mspe,0.07795459032058716,12800
posthoc_web,fz,bias2,0.07795459032058716,12800
posthoc_web,fz,var,0.0,12800
ssn,y,mspe,1.0068141222000122,12800
ssn,y,bias2,1.0041182041168213,12800
ssn,y,var,0.0026959485840052366,12800
ssn,fx,mspe,0.021477965638041496,12800
ssn,fx,bias2,0.019682522863149643,12800
ssn,fx,var,0.0017954424256458879,12800
ssn,fr,mspe,0.002001318149268627,12800
ssn,fr,bias2,0.00020587589824572206,12800
ssn,fr,var,0.0017954424256458879,12800
ssn,fz,mspe,0.01663758046925068,12800
ssn,fz,bias2,0.01627621240913868,12800
ssn,fz,var,0.00036136756534688175,12800
nam_mlp_conc_0.01,y,mspe,1.003231167793274,12800
nam_mlp_conc_0.01,y,bias2,1.000441312789917,12800
nam_mlp_conc_0.01,y,var,0.002789826365187764,12800
nam_mlp_conc_0.01,fx,mspe,0.0030443912837654352,12800
nam_mlp_conc_0.01,fx,bias2,0.0010878683533519506,12800
nam_mlp_conc_0.01,fx,var,0.0019565231632441282,12800
nam_mlp_conc_0.01,fr,mspe,0.015309972688555717,12800
nam_mlp_conc_0.01,fr,bias2,0.013353449292480946,12800
nam_mlp_conc_0.01,fr,var,0.0019565231632441282,12800
nam_mlp_conc_0.01,fz,mspe,0.0016566156409680843,12800
nam_mlp_conc_0.01,fz,bias2,0.0007689018384553492,12800
nam_mlp_conc_0.01,fz,var,0.0008877138025127351,12800
nam_mlp_conc_0.1,y,mspe,1.0025489330291748,12800
nam_mlp_conc_0.1,y,bias2,0.9995258450508118,12800
nam_mlp_conc_0.1,y,var,0.0030230344273149967,12800
nam_mlp_conc_0.1,fx,mspe,0.02017916366457939,12800
nam_mlp_conc_0.1,fx,bias2,0.01850595884025097,12800
nam_mlp_conc_0.1,fx,var,0.0016732043586671352,12800
nam_mlp_conc_0.1,fr,mspe,0.009136701002717018,12800
nam_mlp_conc_0.1,fr,bias2,0.007463495247066021,12800
nam_mlp_conc_0.1,fr,var,0.0016732043586671352,12800
nam_mlp_conc_0.1,fz,mspe,0.014177238568663597,12800
nam_mlp_conc_0.1,fz,bias2,0.012958608567714691,12800
nam_mlp_conc_0.1,fz,var,0.0012186284875497222,12800
nam_mlp_conc_1,y,mspe,1.0053303241729736,12800
nam_mlp_conc_1,y,bias2,1.0022027492523193,12800
nam_mlp_conc_1,y,var,0.003127435687929392,12800
nam_mlp_conc_1,fx,mspe,0.025551224127411842,12800
nam_mlp_conc_1,fx,bias2,0.02386922389268875,12800
nam_mlp_conc_1,fx,var,0.0016819966258481145,12800
nam_mlp_conc_1,fr,mspe,0.01097051426768303,12800
nam_mlp_conc_1,fr,bias2,0.009288517758250237,12800
nam_mlp_conc_1,fr,var,0.0016819966258481145,12800
nam_mlp_conc_1,fz,mspe,0.018676724284887314,12800
nam_mlp_conc_1,fz,bias2,0.01769774965941906,12800
nam_mlp_conc_1,fz,var,0.0009789732284843922,12800
cfnet_0.5,y,mspe,1.1270322799682617,12800
cfnet_0.5,y,bias2,1.0880341529846191,12800
cfnet_0.5,y,var,0.038998112082481384,12800
cfnet_0.5,fx,mspe,0.030101098120212555,12800
cfnet_0.5,fx,bias2,0.008353862911462784,12800
cfnet_0.5,fx,var,0.021747233346104622,12800
cfnet_0.5,fr,mspe,0.057109102606773376,12800
cfnet_0.5,fr,bias2,0.035361871123313904,12800
cfnet_0.5,fr,var,0.021747233346104622,12800
cfnet_0.5,fz,mspe,0.07795459032058716,12800
cfnet_0.5,fz,bias2,0.07795459032058716,12800
cfnet_0.5,fz,var,0.0,12800
cfnet_1,y,mspe,1.114203929901123,12800
cfnet_1,y,bias2,1.081559658050537,12800
cfnet_1,y,var,0.03264423459768295,12800
cfnet_1,fx,mspe,0.028272652998566628,12800
cfnet_1,fx,bias2,0.008846437558531761,12800
cfnet_1,fx,var,0.019426215440034866,12800
cfnet_1,fr,mspe,0.05977839604020119,12800
cfnet_1,fr,bias2,0.04035218060016632,12800
cfnet_1,fr,var,0.019426215440034866,12800
cfnet_1,fz,mspe,0.07795459032058716,12800
cfnet_1,fz,bias2,0.07795459032058716,12800
cfnet_1,fz,var,0.0,12800
cfnet_5,y,mspe,1.1230040788650513,12800
cfnet_5,y,bias2,1.0878891944885254,12800
cfnet_5,y,var,0.035114970058202744,12800
cfnet_5,fx,mspe,0.03002888150513172,12800
cfnet_5,fx,bias2,0.00860639475286007,12800
cfnet_5,fx,var,0.02142249047756195,12800
cfnet_5,fr,mspe,0.058337245136499405,12800
cfnet_5,fr,bias2,0.036914754658937454,12800
cfnet_5,fr,var,0.02142249047756195,12800
cfnet_5,fz,mspe,0.07795459032058716,12800
cfnet_5,fz,bias2,0.07795459032058716,12800
cfnet_5,fz,var,0.0,12800
circe_1,y,mspe,1.0525797605514526,12800
circe_1,y,bias2,1.051377534866333,12800
circe_1,y,var,0.0012021635193377733,12800
circe_1,fx,mspe,0.04915294796228409,12800
circe_1,fx,bias2,0.04803204908967018,12800
circe_1,fx,var,0.0011208959622308612,12800
circe_1,fr,mspe,0.11786053329706192,12800
circe_1,fr,bias2,0.11673963814973831,12800
circe_1,fr,var,0.0011208959622308612,12800
circe_1,fz,mspe,0.07795459032058716,12800
circe_1,fz,bias2,0.07795459032058716,12800
circe_1,fz,var,0.0,12800
circe_10,y,mspe,1.0690351724624634,12800
circe_10,y,bias2,1.0562982559204102,12800
circe_10,y,var,0.012736905366182327,12800
circe_10,fx,mspe,0.03905704617500305,12800
circe_10,fx,bias2,0.026395587250590324,12800
circe_10,fx,var,0.012661456130445004,12800
circe_10,fr,mspe,0.09425581246614456,12800
circe_10,fr,bias2,0.08159434050321579,12800
circe_10,fr,var,0.012661456130445004,12800
circe_10,fz,mspe,0.07795459032058716,12800
circe_10,fz,bias2,0.07795459032058716,12800
circe_10,fz,var,0.0,12800
circe_100,y,mspe,1.2316443920135498,12800
circe_100,y,bias2,1.199951171875,12800
circe_100,y,var,0.031693220138549805,12800
circe_100,fx,mspe,0.09118136763572693,12800
circe_100,fx,bias2,0.05976897105574608,12800
circe_100,fx,var,0.03141239285469055,12800
circe_100,fr,mspe,0.08198520541191101,12800
circe_100,fr,bias2,0.050572823733091354,12800
circe_100,fr,var,0.03141239285469055,12800
circe_100,fz,mspe,0.07795459032058716,12800
circe_100,fz,bias2,0.07795459032058716,12800
circe_100,fz,var,0.0,12800
refit,y,mspe,1.0133143663406372,1600
refit,y,bias2,1.0070592164993286,1600
refit,y,var,0.006255135405808687,1600
refit,fx,mspe,0.0076005528680980206,1600
refit,fx,bias2,0.0021442538127303123,1600
refit,fx,var,0.005456299055367708,1600
refit,fr,mspe,0.033294130116701126,1600
refit,fr,bias2,0.027837835252285004,1600
refit,fr,var,0.005456299055367708,1600
refit,fz,mspe,0.002727324143052101,1600
refit,fz,bias2,0.000559168984182179,1600
refit,fz,var,0.0021681550424546003,1600
refit_orth,y,mspe,1.0133233070373535,1600
refit_orth,y,bias2,1.0070511102676392,1600
refit_orth,y,var,0.006272243335843086,1600
refit_orth,fx,mspe,0.026008736342191696,1600
refit_orth,fx,bias2,0.0217506792396307,1600
refit_orth,fx,var,0.004258057102560997,1600
refit_orth,fr,mspe,0.00591301778331399,1600
refit_orth,fr,bias2,0.0016549609135836363,1600
refit_orth,fr,var,0.004258057102560997,1600
refit_orth,fz,mspe,0.021014587953686714,1600
refit_orth,fz,bias2,0.019701194018125534,1600
refit_orth,fz,var,0.001313394051976502,1600
nam,y,mspe,1.0417646169662476,1600
