model,effect,metric,value,n,p
refit,fz,var,0.00031191896414384246,25600,2
refit_orth,y,mspe,0.9575340151786804,25600,2
refit_orth,y,bias2,0.956622302532196,25600,2
refit_orth,y,var,0.0009117373847402632,25600,2
refit_orth,fx,mspe,0.022724205628037453,25600,2
refit_orth,fx,bias2,0.02201775833964348,25600,2
refit_orth,fx,var,0.0007064489764161408,25600,2
refit_orth,fr,mspe,0.0012288049329072237,25600,2
refit_orth,fr,bias2,0.0005223560146987438,25600,2
refit_orth,fr,var,0.0007064489764161408,25600,2
refit_orth,fz,mspe,0.02009781450033188,25600,2
refit_orth,fz,bias2,0.019936691969633102,25600,2
refit_orth,fz,var,0.00016111841250676662,25600,2
refit,y,mspe,1.0727635622024536,25600,4
refit,y,bias2,1.071401834487915,25600,4
refit,y,var,0.0013616913929581642,25600,4
refit,fx,mspe,0.0029864090029150248,25600,4
refit,fx,bias2,0.0016439238097518682,25600,4
refit,fx,var,0.0013424851931631565,25600,4
refit,fr,mspe,0.024558300152420998,25600,4
refit,fr,bias2,0.02321581542491913,25600,4
refit,fr,var,0.0013424851931631565,25600,4
refit,fz,mspe,0.001124434289522469,25600,4
refit,fz,bias2,0.0004955633776262403,25600,4
refit,fz,var,0.0006288710283115506,25600,4
refit_orth,y,mspe,1.0727524757385254,25600,4
refit_orth,y,bias2,1.0713921785354614,25600,4
refit_orth,y,var,0.0013603192055597901,25600,4
refit_orth,fx,mspe,0.02271164022386074,25600,4
refit_orth,fx,bias2,0.021680567413568497,25600,4
refit_orth,fx,var,0.0010310716461390257,25600,4
refit_orth,fr,mspe,0.002237799810245633,25600,4
refit_orth,fr,bias2,0.0012067281641066074,25600,4
refit_orth,fr,var,0.0010310716461390257,25600,4
refit_orth,fz,mspe,0.01985759288072586,25600,4
refit_orth,fz,bias2,0.019537344574928284,25600,4
refit_orth,fz,var,0.00032025054679252207,25600,4
refit,y,mspe,1.0271285772323608,25600,8
refit,y,bias2,1.0253422260284424,25600,8
refit,y,var,0.0017862117383629084,25600,8
refit,fx,mspe,0.003294035792350769,25600,8
refit,fx,bias2,0.0017894943011924624,25600,8
refit,fx,var,0.0015045414911583066,25600,8
refit,fr,mspe,0.02431293949484825,25600,8
refit,fr,bias2,0.02280839905142784,25600,8
refit,fr,var,0.0015045414911583066,25600,8
refit,fz,mspe,0.0014197618002071977,25600,8
refit,fz,bias2,0.0005111540667712688,25600,8
refit,fz,var,0.0009086077916435897,25600,8
refit_orth,y,mspe,1.0271058082580566,25600,8
refit_orth,y,bias2,1.025315761566162,25600,8
refit_orth,y,var,0.0017901036189869046,25600,8
refit_orth,fx,mspe,0.022764407098293304,25600,8
refit_orth,fx,bias2,0.02162977308034897,25600,8
refit_orth,fx,var,0.0011346314568072557,25600,8
refit_orth,fr,mspe,0.0023605716414749622,25600,8
refit_orth,fr,bias2,0.0012259400682523847,25600,8
refit_orth,fr,var,0.0011346314568072557,25600,8
refit_orth,fz,mspe,0.021324796602129936,25600,8
refit_orth,fz,bias2,0.020580388605594635,25600,8
refit_orth,fz,var,0.0007444049697369337,25600,8
refit,y,mspe,1.00951087474823,3200,1
refit,y,bias2,1.0058804750442505,3200,1
refit,y,var,0.0036304050590842962,3200,1
refit,fx,mspe,0.00531333452090621,3200,1
refit,fx,bias2,0.0018967407522723079,3200,1
refit,fx,var,0.0034165936522185802,3200,1
refit,fr,mspe,0.03144952654838562,3200,1
refit,fr,bias2,0.028032932430505753,3200,1
refit,fr,var,0.0034165936522185802,3200,1
refit,fz,mspe,0.0014382724184542894,3200,1
refit,fz,bias2,0.00025798831484280527,3200,1
refit,fz,var,0.0011802841909229755,3200,1
refit_orth,y,mspe,1.0095065832138062,3200,1
refit_orth,y,bias2,1.0058783292770386,3200,1
refit_orth,y,var,0.00362816802226007,3200,1
refit_orth,fx,mspe,0.023283829912543297,3200,1
refit_orth,fx,bias2,0.020602812990546227,3200,1
refit_orth,fx,var,0.002681015059351921,3200,1
refit_orth,fr,mspe,0.004010678734630346,3200,1
refit_orth,fr,bias2,0.0013296635588631034,3200,1
refit_orth,fr,var,0.002681015059351921,3200,1
refit_orth,fz,mspe,0.022117143496870995,3200,1
refit_orth,fz,bias2,0.0214859489351511,3200,1
refit_orth,fz,var,0.0006311924662441015,3200,1
refit,y,mspe,1.0025734901428223,3200,16
refit,y,bias2,0.9883250594139099,3200,16
refit,y,var,0.014248461462557316,3200,16
refit,fx,mspe,0.012583140283823013,3200,16
refit,fx,bias2,0.0066277626901865005,3200,16
refit,fx,var,0.0059553771279752254,3200,16
refit,fr,mspe,0.033640265464782715,3200,16
refit,fr,bias2,0.02768488973379135,3200,16
refit,fr,var,0.0059553771279752254,3200,16
refit,fz,mspe,0.01460215076804161,3200,16
refit,fz,bias2,0.002385282889008522,3200,16
refit,fz,var,0.012216866947710514,3200,16
refit_orth,y,mspe,1.0025734901428223,3200,16
refit_orth,y,bias2,0.988324761390686,3200,16
