model,effect,metric,value,a,n
refit_orth,fx,mspe,0.03741328790783882,0.6,12800
refit_orth,fx,bias2,0.016894282773137093,0.6,12800
refit_orth,fx,var,0.020519008859992027,0.6,12800
refit_orth,fr,mspe,0.07390222698450089,0.6,12800
refit_orth,fr,bias2,0.05338321998715401,0.6,12800
refit_orth,fr,var,0.020519008859992027,0.6,12800
refit_orth,fz,mspe,0.062354907393455505,0.6,12800
refit_orth,fz,bias2,0.023118143901228905,0.6,12800
refit_orth,fz,var,0.03923676535487175,0.6,12800
base,y,mspe,1.052075982093811,0.6,12800
base,y,bias2,1.050003170967102,0.6,12800
base,y,var,0.002072870032861829,0.6,12800
base,fx,mspe,0.048287283629179,0.6,12800
base,fx,bias2,0.04680609703063965,0.6,12800
base,fx,var,0.0014811888104304671,0.6,12800
base,fr,mspe,0.11638209968805313,0.6,12800
base,fr,bias2,0.11490092426538467,0.6,12800
base,fr,var,0.0014811888104304671,0.6,12800
base,fz,mspe,0.07795459032058716,0.6,12800
base,fz,bias2,0.07795459032058716,0.6,12800
base,fz,var,0.0,0.6,12800
posthoc_web,y,mspe,1.1128734350204468,0.6,12800
posthoc_web,y,bias2,1.0882591009140015,0.6,12800
posthoc_web,y,var,0.024614250287413597,0.6,12800
posthoc_web,fx,mspe,0.046776220202445984,0.6,12800
posthoc_web,fx,bias2,0.022700447589159012,0.6,12800
posthoc_web,fx,var,0.024075768887996674,0.6,12800
posthoc_web,fr,mspe,0.08731573820114136,0.6,12800
posthoc_web,fr,bias2,0.06323997676372528,0.6,12800
posthoc_web,fr,var,0.024075768887996674,0.6,12800
posthoc_web,fz,mspe,0.07795459032058716,0.6,12800
posthoc_web,fz,bias2,0.07795459032058716,0.6,12800
posthoc_web,fz,var,0.0,0.6,12800
refit,y,mspe,1.0476393699645996,0.7,12800
refit,y,bias2,1.0447179079055786,0.7,12800
refit,y,var,0.002921408973634243,0.7,12800
refit,fx,mspe,0.04294225573539734,0.7,12800
refit,fx,bias2,0.041954394429922104,0.7,12800
refit,fx,var,0.0009878589771687984,0.7,12800
refit,fr,mspe,0.10842937231063843,0.7,12800
refit,fr,bias2,0.10744151473045349,0.7,12800
refit,fr,var,0.0009878589771687984,0.7,12800
refit,fz,mspe,0.07042495906352997,0.7,12800
refit,fz,bias2,0.06857217103242874,0.7,12800
refit,fz,var,0.0018527850043028593,0.7,12800
refit_orth,y,mspe,1.047633171081543,0.7,12800
