,confounding,q,Run,Model,Metric,MSE,Bias,Var
279,False,32,21,Covar NN,yhat,1.0124819,0.015342279,1.0123478
280,False,32,21,Covar NN,fxhat,0.0023649032,-0.015169856,0.0021349923
281,False,32,21,Covar NN,fzhat,0.0016660772,0.024486892,0.001066576
282,False,32,22,NN,yhat,2.0054839,0.027977366,2.004902
283,False,32,22,NN,fxhat,0.0051441994,-0.024381483,0.0045501976
284,False,32,22,NN,fzhat,0.99972403,0.055433486,0.9967509
285,False,32,22,Covar NN,yhat,1.0039746,0.016498448,1.0038028
286,False,32,22,Covar NN,fxhat,0.002928573,-0.008363931,0.0028589033
287,False,32,22,Covar NN,fzhat,0.0010986974,0.027937017,0.00031825245
288,False,32,23,NN,yhat,1.9968457,0.014485245,1.9968355
289,False,32,23,NN,fxhat,0.0090747345,-0.021671569,0.008605939
290,False,32,23,NN,fzhat,1.0080475,0.030327115,1.0072285
291,False,32,23,Covar NN,yhat,1.0071906,-0.008373243,1.0072213
292,False,32,23,Covar NN,fxhat,0.0041288496,0.009778506,0.004033634
293,False,32,23,Covar NN,fzhat,0.0015252379,-0.023981443,0.0009502233
294,False,32,24,NN,yhat,1.9767213,0.016443005,1.9766484
295,False,32,24,NN,fxhat,0.0067613916,0.04842697,0.004416661
296,False,32,24,NN,fzhat,1.0199175,-0.028044827,1.019233
297,False,32,24,Covar NN,yhat,0.9890684,0.0015546104,0.9891648
298,False,32,24,Covar NN,fxhat,0.0022478383,-0.004701615,0.0022259557
299,False,32,24,Covar NN,fzhat,0.0008523905,0.010195371,0.0007485197
300,False,64,0,NN,yhat,2.0079758,0.003415523,2.008165
301,False,64,0,NN,fxhat,0.020802557,-0.08004705,0.014396465
302,False,64,0,NN,fzhat,0.996854,0.090118006,0.9888317
303,False,64,0,Covar NN,yhat,1.0075063,-0.008400511,1.0075364
304,False,64,0,Covar NN,fxhat,0.0069161835,-0.021218369,0.006466611
305,False,64,0,Covar NN,fzhat,0.0013612076,0.019473283,0.0009820969
306,False,64,1,NN,yhat,2.038957,-0.013831322,2.03897
307,False,64,1,NN,fxhat,0.016135061,-0.05888122,0.012669331
308,False,64,1,NN,fzhat,1.0068178,0.05827189,1.0035225
309,False,64,1,Covar NN,yhat,1.0148134,-0.012193432,1.0147662
310,False,64,1,Covar NN,fxhat,0.008057196,-0.035456717,0.006800697
311,False,64,1,Covar NN,fzhat,0.0018902548,0.036485266,0.0005591361
