method,N,seed,mspe_y,mspe_fx,mspe_fz,corr_fx_z,b_z_hat,val_loss
dml,1600,6,0.9697983264923096,0.02236197702586651,0.009918523952364922,-0.0701456119460968,1.3403669595718384,0.9097601056098938
dml,1600,8,0.9736866354942322,0.0024569935631006956,0.0004246565222274512,0.20237214418146068,0.9321385025978088,0.9491166615486145
dml,1600,5,0.9819826483726501,0.004167614039033651,0.002035644371062517,0.2314091997027888,1.158185601234436,1.007803249359131
dml,1600,9,0.9697402119636536,0.04719731956720352,0.05786796286702156,0.6329329188304762,0.15499955415725708,1.059119498729706
dml,1600,7,0.9800048470497131,0.01513309683650732,0.015483166091144085,-0.011131454711959067,1.4372960329055786,0.8839574384689332
dml,1600,4,0.982599675655365,0.010557927191257477,0.0021206934470683336,0.3467768696560854,0.8383548855781555,0.9520960330963135
dml,3200,0,0.9751379489898682,0.00346903083845973,7.35268768039532e-05,0.31796904142215937,0.9720028638839722,0.984261622428894
dml,3200,2,0.9829839468002319,0.024237927049398422,0.011662722565233707,0.5878064280599993,0.6205588579177856,1.0345048236846923
dml,3200,1,0.9729713201522827,0.0020815199241042137,0.0009905765764415264,0.3354998921545544,0.8906938433647156,1.0292973232269287
dml,3200,6,0.9798376560211182,0.04175207391381264,0.026588967069983482,-0.281448077851618,1.5723991394042969,1.0214179587364196
dml,3200,4,0.9780712723731995,0.005523436237126589,0.0001689009804977104,0.19384206476731952,1.0416860580444336,1.0505433344841004
dml,3200,8,0.9698654413223267,0.009539428167045116,0.007000879384577274,0.40140269069820944,0.7059175968170166,0.9713974452018738
dml,3200,5,0.9696488976478577,0.004958847537636757,0.0026263052131980658,0.19085226689117635,1.1784809827804565,0.9937370705604553
dml,3200,3,0.9744682908058167,0.006156582850962877,0.0005273195565678179,0.43517224414593675,0.9217785596847534,0.9549893260002136
dml,3200,7,0.9717321395874023,0.005707361735403538,0.0009188054827973247,0.15997125914563978,1.105708360671997,0.9991606664657593
dml,3200,9,0.9815088510513306,0.004392306320369244,1.8917058696388267e-05,0.3789540413057943,0.9909203052520752,1.0392643976211549
dml,6400,0,0.9701175689697266,0.0017954539507627487,0.0003786967718042433,0.2481143274401941,1.0680550336837769,1.0404234910011292
dml,6400,1,0.9706148505210876,0.005507534369826317,0.0061989533714950085,0.4215078133358723,0.7233399152755737,0.9904965782165527
dml,6400,3,0.9814813733100891,0.004290945827960968,0.0013167655561119318,0.3278507836863967,0.8730403184890747,0.9974482715129852
dml,6400,4,0.9709004759788513,0.0013539097271859646,4.2320232296333415e-07,0.29312369851637665,1.0010720491409302,0.9865534114837646
