model,effect,metric,value,bz,n
posthoc_orth,fz,bias2,0.020800258964300156,3,12800
posthoc_orth,fz,var,0.0018682145746424794,3,12800
posthoc_web,y,mspe,0.3243652582168579,3,12800
posthoc_web,y,bias2,0.32394254207611084,3,12800
posthoc_web,y,var,0.0004227336903568357,3,12800
posthoc_web,fx,mspe,0.1772354543209076,3,12800
posthoc_web,fx,bias2,0.17233921587467194,3,12800
posthoc_web,fx,var,0.0048962305299937725,3,12800
posthoc_web,fr,mspe,0.15262827277183533,3,12800
posthoc_web,fr,bias2,0.14773203432559967,3,12800
posthoc_web,fr,var,0.0048962305299937725,3,12800
posthoc_web,fz,mspe,0.7015913128852844,3,12800
posthoc_web,fz,bias2,0.7015913128852844,3,12800
posthoc_web,fz,var,0.0,3,12800
base,y,mspe,0.21545752882957458,3.5,12800
base,y,bias2,0.21516089141368866,3.5,12800
base,y,var,0.00029663811437785625,3.5,12800
base,fx,mspe,0.5653444528579712,3.5,12800
base,fx,bias2,0.5592871904373169,3.5,12800
base,fx,var,0.006057256832718849,3.5,12800
base,fr,mspe,0.7530384063720703,3.5,12800
base,fr,bias2,0.7469812035560608,3.5,12800
base,fr,var,0.006057256832718849,3.5,12800
base,fz,mspe,0.9549437165260315,3.5,12800
base,fz,bias2,0.954943835735321,3.5,12800
base,fz,var,0.0,3.5,12800
posthoc,y,mspe,0.20027612149715424,3.5,12800
posthoc,y,bias2,0.19992788136005402,3.5,12800
posthoc,y,var,0.0003482516040094197,3.5,12800
posthoc,fx,mspe,0.009541967883706093,3.5,12800
posthoc,fx,bias2,0.0012583837378770113,3.5,12800
posthoc,fx,var,0.00828358344733715,3.5,12800
posthoc,fr,mspe,0.030582867562770844,3.5,12800
posthoc,fr,bias2,0.022299280390143394,3.5,12800
posthoc,fr,var,0.00828358344733715,3.5,12800
posthoc,fz,mspe,0.004942239262163639,3.5,12800
posthoc,fz,bias2,3.158033052841347e-07,3.5,12800
posthoc,fz,var,0.004941924009472132,3.5,12800
posthoc_orth,y,mspe,0.20027753710746765,3.5,12800
posthoc_orth,y,bias2,0.19992798566818237,3.5,12800
posthoc_orth,y,var,0.00034956351737491786,3.5,12800
posthoc_orth,fx,mspe,0.026372702792286873,3.5,12800
posthoc_orth,fx,bias2,0.02063678205013275,3.5,12800
posthoc_orth,fx,var,0.005735916551202536,3.5,12800
posthoc_orth,fr,mspe,0.006963425315916538,3.5,12800
posthoc_orth,fr,bias2,0.0012275088811293244,3.5,12800
posthoc_orth,fr,var,0.005735916551202536,3.5,12800
posthoc_orth,fz,mspe,0.02343675307929516,3.5,12800
posthoc_orth,fz,bias2,0.021081719547510147,3.5,12800
posthoc_orth,fz,var,0.002355034463107586,3.5,12800
posthoc_web,y,mspe,0.33565956354141235,3.5,12800
posthoc_web,y,bias2,0.33514729142189026,3.5,12800
posthoc_web,y,var,0.0005122593138366938,3.5,12800
posthoc_web,fx,mspe,0.2274632602930069,3.5,12800
posthoc_web,fx,bias2,0.22236624360084534,3.5,12800
posthoc_web,fx,var,0.0050970399752259254,3.5,12800
posthoc_web,fr,mspe,0.20185816287994385,3.5,12800
posthoc_web,fr,bias2,0.1967611163854599,3.5,12800
posthoc_web,fr,var,0.0050970399752259254,3.5,12800
posthoc_web,fz,mspe,0.9549437165260315,3.5,12800
