n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,1.0,0.2,1,32,posthoc,fx,mspe,0.0035047124,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc,fx,bias2,0.0001553031,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc,fx,var,0.0033494092,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc,fz,mspe,0.0009592291,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc,fz,bias2,1.7300421e-05,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc,fz,var,0.0009419286,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc,fr,mspe,0.023268059,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc,fr,bias2,0.019918649,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc,fr,var,0.0033494092,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,y,mspe,1.0181698,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,y,bias2,1.0040482,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,y,var,0.014121507,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,fx,mspe,0.013070417,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,fx,bias2,0.00019031932,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,fx,var,0.012880096,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,fz,mspe,0.0010485478,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,fz,bias2,6.7792193e-06,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,fz,var,0.0010417687,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,fr,mspe,0.0321021,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,fr,bias2,0.019222002,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_lam0,fr,var,0.012880096,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,y,mspe,1.0078248,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,y,bias2,1.0032693,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,y,var,0.00455556,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,fx,mspe,0.006933566,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,fx,bias2,0.003658898,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,fx,var,0.003274668,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,fz,mspe,0.004071663,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,fz,bias2,0.0031424444,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,fz,var,0.00092921837,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,fr,mspe,0.009894926,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,fr,bias2,0.006620258,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth,fr,var,0.003274668,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,y,mspe,1.0181674,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,y,bias2,1.0037677,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,y,var,0.014399733,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,fx,mspe,0.016839897,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,fx,bias2,0.0037100583,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,fx,var,0.01312984,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,fz,mspe,0.0040839785,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,fz,bias2,0.0031548322,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,fz,var,0.0009291459,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,fr,mspe,0.019656397,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,fr,bias2,0.0065265573,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_orth_lam0,fr,var,0.01312984,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,y,mspe,1.1393511,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,y,bias2,1.1358426,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,y,var,0.0035086737,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,fx,mspe,0.010137619,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,fx,bias2,0.0071948357,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,fx,var,0.0029427842,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,fz,mspe,0.07795459,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,fz,bias2,0.07795459,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,fz,var,0.0,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,fr,mspe,0.017971462,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,fr,bias2,0.015028677,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.2,1,32,posthoc_web,fr,var,0.0029427842,n=3200_bz=1.0_cv1=0.2_p=1_q=32_20251022-194258
3200,1.0,0.3,1,32,base,y,mspe,1.0749533,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,base,y,bias2,1.0720441,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,base,y,var,0.0029091816,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,base,fx,mspe,0.022935946,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,base,fx,bias2,0.020553313,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,base,fx,var,0.0023826328,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,base,fz,mspe,0.07795459,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,base,fz,bias2,0.07795459,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,base,fz,var,0.0,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,base,fr,mspe,0.06858925,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,base,fr,bias2,0.06620661,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,base,fr,var,0.0023826328,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc,y,mspe,1.0080589,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
3200,1.0,0.3,1,32,posthoc,y,bias2,1.0037663,n=3200_bz=1.0_cv1=0.3_p=1_q=32_20251022-194952
