setting,sim_id,method,mspe_fx,mspe_fr,mspe_y,mean_fx_hat,var_fx_hat,n_total,outcome_type,q,bz,cv1
fig1b_gauss_bz0,9,base_half,0.010569379664957523,0.0429980605840683,1.0086437463760376,-0.013708437792956829,0.09802558273077011,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,9,posthoc,0.017323218286037445,0.0031097829341888428,1.0150489807128906,0.008322956040501595,0.08876536041498184,1600,continuous,32,0.0,0.8
fig1b_gauss_bz0,9,posthoc_same_sample,0.002293649362400174,0.018868066370487213,1.0047975778579712,0.0013700503623113036,0.10705703496932983,1600,continuous,32,0.0,0.8
fig1b_gauss_bz1,0,base_full,0.06907470524311066,0.15862974524497986,1.0212829113006592,0.015474316664040089,0.2805027365684509,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,0,base_half,0.10322291404008865,0.20595985651016235,1.0333335399627686,0.02839520201086998,0.33936020731925964,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,0,posthoc,0.019274402409791946,0.0704847052693367,1.0200862884521484,0.02152884192764759,0.14549417793750763,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,0,posthoc_same_sample,0.03325960412621498,0.10106080025434494,1.013973355293274,0.012552235275506973,0.1875057816505432,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,1,base_full,0.11515948921442032,0.2231617420911789,1.0265880823135376,0.01447213813662529,0.3070831894874573,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,1,base_half,0.12140113860368729,0.23167961835861206,1.0309146642684937,-0.0031802249141037464,0.33693990111351013,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,1,posthoc,0.014734328724443913,0.05056052282452583,1.0113261938095093,0.01091685052961111,0.10005543380975723,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,1,posthoc_same_sample,0.01939583383500576,0.05899251997470856,1.026053547859192,0.015342185273766518,0.14278365671634674,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,2,base_full,0.05777204409241676,0.140410378575325,1.0280779600143433,0.033886805176734924,0.26046422123908997,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,2,base_half,0.057258740067481995,0.13797475397586823,1.0299838781356812,0.03556211665272713,0.2584359347820282,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,2,posthoc,0.02227821759879589,0.05650409311056137,1.0165404081344604,0.026855086907744408,0.0731155276298523,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,2,posthoc_same_sample,0.017804007977247238,0.065809465944767,1.0122289657592773,0.022890765219926834,0.12083861976861954,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,3,base_full,0.06935876607894897,0.15922477841377258,1.0211093425750732,0.028981857001781464,0.24735550582408905,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,3,base_half,0.043114643543958664,0.11414489895105362,1.025994896888733,0.027944445610046387,0.16522760689258575,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,3,posthoc,0.0696316659450531,0.15930767357349396,1.0246940851211548,-0.023973185569047928,0.23860053718090057,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,3,posthoc_same_sample,0.037321776151657104,0.10669742524623871,1.0133209228515625,0.02444656938314438,0.18115447461605072,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,4,base_full,0.04595119133591652,0.1226801648736,1.0328618288040161,-0.007727516815066338,0.2311456799507141,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,4,base_half,0.04126562923192978,0.10668131709098816,1.051532506942749,-0.0019710503984242678,0.25147849321365356,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,4,posthoc,0.029598431661725044,0.017673887312412262,1.0229148864746094,0.003911111503839493,0.13592742383480072,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,4,posthoc_same_sample,0.004136854782700539,0.035993725061416626,1.0145926475524902,0.010487680323421955,0.15639419853687286,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,5,base_full,0.08356230705976486,0.17920535802841187,1.020345687866211,0.0321623720228672,0.25426891446113586,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,5,base_half,0.09997416287660599,0.20191238820552826,1.0243455171585083,0.0060663605108857155,0.2536521852016449,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,5,posthoc,0.07101116329431534,0.14885540306568146,1.0415370464324951,0.06912705302238464,0.18845614790916443,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,5,posthoc_same_sample,0.017125818878412247,0.0665711984038353,1.0121864080429077,0.018780263140797615,0.13143296539783478,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,6,base_full,0.04807936027646065,0.12616367638111115,1.019872784614563,-0.0010174071649089456,0.20977672934532166,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,6,base_half,0.05062185227870941,0.12932318449020386,1.032049536705017,-0.008954334072768688,0.20636986196041107,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,6,posthoc,0.01032310165464878,0.04226129502058029,1.0178349018096924,0.006276892032474279,0.18840865790843964,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,6,posthoc_same_sample,0.018399221822619438,0.07174590975046158,1.020775318145752,0.0013205540599301457,0.1662098914384842,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,7,base_full,0.07663032412528992,0.17028796672821045,1.0163060426712036,0.003166627837345004,0.2567873001098633,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,7,base_half,0.07745715975761414,0.16918689012527466,1.0184928178787231,0.0250241756439209,0.22625072300434113,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,7,posthoc,0.00856313668191433,0.0346304289996624,1.0128376483917236,0.0024720788933336735,0.09919803589582443,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,7,posthoc_same_sample,0.045331697911024094,0.1179664209485054,1.0130137205123901,0.002634772565215826,0.16999700665473938,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,8,base_full,0.08290702849626541,0.17810262739658356,1.022111177444458,0.0040943981148302555,0.26525062322616577,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,8,base_half,0.11912748962640762,0.2308751940727234,1.0195574760437012,0.03847961872816086,0.3056708574295044,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,8,posthoc,0.03519309684634209,0.09349479526281357,1.0212621688842773,-0.022133318707346916,0.17310257256031036,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,8,posthoc_same_sample,0.007040079683065414,0.0354241281747818,1.008073329925537,-0.0028526270762085915,0.11911323666572571,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,9,base_full,0.05672416836023331,0.13922199606895447,1.0217082500457764,-0.007854074239730835,0.22693966329097748,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,9,base_half,0.07809016108512878,0.1716250479221344,1.0233392715454102,-0.02520749531686306,0.2849893569946289,1600,continuous,32,1.0,0.8
fig1b_gauss_bz1,9,posthoc,0.02254411019384861,0.0035908175632357597,1.0151774883270264,0.006663264706730843,0.08788475394248962,1600,continuous,32,1.0,0.8
