n,bz,cv1,p,q,model,effect,metric,value,experiment_folder
3200,0.0,0.8,1,32,posthoc_lam0,fx,mspe,0.02402745,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_lam0,fx,bias2,0.00019003185,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_lam0,fx,var,0.023837417,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_lam0,fz,mspe,0.010618686,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_lam0,fz,bias2,3.349044e-05,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_lam0,fz,var,0.010585196,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_lam0,fr,mspe,0.0448583,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_lam0,fr,bias2,0.02102088,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_lam0,fr,var,0.023837417,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,y,mspe,1.0081531,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,y,bias2,1.0044427,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,y,var,0.0037101475,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,fx,mspe,0.02215384,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,fx,bias2,0.019709345,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,fx,var,0.0024444954,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,fz,mspe,0.020343222,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,fz,bias2,0.019506078,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,fz,var,0.0008371434,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,fr,mspe,0.0026726746,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,fr,bias2,0.00022817895,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
3200,0.0,0.8,1,32,posthoc_orth,fr,var,0.0024444954,n=3200_bz=0_cv1=0.8_p=1_q=32_20251022-184201
