model,effect,metric,value,n,p
posthoc_orth,y,mspe,1.093937635421753,1600,4
posthoc_orth,y,bias2,1.0732389688491821,1600,4
posthoc_orth,y,var,0.020698614418506622,1600,4
posthoc_orth,fx,mspe,0.03178657591342926,1600,4
posthoc_orth,fx,bias2,0.02251799777150154,1600,4
posthoc_orth,fx,var,0.00926857627928257,1600,4
posthoc_orth,fr,mspe,0.7878634929656982,1600,4
posthoc_orth,fr,bias2,0.6282662749290466,1600,4
posthoc_orth,fr,var,0.15959708392620087,1600,4
posthoc_orth,fz,mspe,0.02849806286394596,1600,4
posthoc_orth,fz,bias2,0.01803949847817421,1600,4
posthoc_orth,fz,var,0.010458563454449177,1600,4
base,y,mspe,1.0511358976364136,1600,8
base,y,bias2,1.0454291105270386,1600,8
base,y,var,0.005706828087568283,1600,8
base,fx,mspe,0.0672045648097992,1600,8
base,fx,bias2,0.06267134100198746,1600,8
base,fx,var,0.004533221945166588,1600,8
base,fr,mspe,0.14937752485275269,1600,8
base,fr,bias2,0.14484430849552155,1600,8
base,fr,var,0.004533221945166588,1600,8
base,fz,mspe,0.08219289779663086,1600,8
base,fz,bias2,0.08219289034605026,1600,8
base,fz,var,0.0,1600,8
posthoc,y,mspe,1.0624535083770752,1600,8
posthoc,y,bias2,1.033964991569519,1600,8
posthoc,y,var,0.02848842926323414,1600,8
posthoc,fx,mspe,0.03926066309213638,1600,8
posthoc,fx,bias2,0.0146350571885705,1600,8
posthoc,fx,var,0.024625606834888458,1600,8
posthoc,fr,mspe,0.08385290205478668,1600,8
posthoc,fr,bias2,0.059227295219898224,1600,8
posthoc,fr,var,0.024625606834888458,1600,8
posthoc,fz,mspe,0.04825674369931221,1600,8
posthoc,fz,bias2,0.011820909567177296,1600,8
posthoc,fz,var,0.03643583878874779,1600,8
posthoc_orth,y,mspe,1.0624535083770752,1600,8
posthoc_orth,y,bias2,1.0339648723602295,1600,8
posthoc_orth,y,var,0.028488611802458763,1600,8
posthoc_orth,fx,mspe,0.03501700982451439,1600,8
posthoc_orth,fx,bias2,0.025832416489720345,1600,8
posthoc_orth,fx,var,0.009184591472148895,1600,8
posthoc_orth,fr,mspe,1.691538691520691,1600,8
posthoc_orth,fr,bias2,1.342871069908142,1600,8
posthoc_orth,fr,var,0.3486675024032593,1600,8
posthoc_orth,fz,mspe,0.03976587951183319,1600,8
posthoc_orth,fz,bias2,0.018792875111103058,1600,8
posthoc_orth,fz,var,0.020973000675439835,1600,8
base,y,mspe,1.0167450904846191,25600,1
base,y,bias2,1.0161412954330444,25600,1
base,y,var,0.0006037488346919417,25600,1
base,fx,mspe,0.07631149888038635,25600,1
base,fx,bias2,0.07587143033742905,25600,1
base,fx,var,0.000440072180936113,25600,1
base,fr,mspe,0.17038875818252563,25600,1
base,fr,bias2,0.16994869709014893,25600,1
base,fr,var,0.000440072180936113,25600,1
base,fz,mspe,0.07795459032058716,25600,1
base,fz,bias2,0.07795459032058716,25600,1
base,fz,var,0.0,25600,1
posthoc,y,mspe,1.0047485828399658,25600,1
posthoc,y,bias2,1.0034757852554321,25600,1
posthoc,y,var,0.0012727376306429505,25600,1
posthoc,fx,mspe,0.004987407475709915,25600,1
posthoc,fx,bias2,0.0011409353464841843,25600,1
posthoc,fx,var,0.0038464718963950872,25600,1
posthoc,fr,mspe,0.03297308459877968,25600,1
posthoc,fr,bias2,0.029126612469553947,25600,1
posthoc,fr,var,0.0038464718963950872,25600,1
posthoc,fz,mspe,0.003975116182118654,25600,1
posthoc,fz,bias2,0.0008943608263507485,25600,1
posthoc,fz,var,0.0030807547736912966,25600,1
posthoc_orth,y,mspe,1.0047483444213867,25600,1
posthoc_orth,y,bias2,1.0034774541854858,25600,1
posthoc_orth,y,var,0.0012708497233688831,25600,1
posthoc_orth,fx,mspe,0.020832018926739693,25600,1
posthoc_orth,fx,bias2,0.01976090669631958,25600,1
posthoc_orth,fx,var,0.0010711123468354344,25600,1
posthoc_orth,fr,mspe,0.1336941123008728,25600,1
posthoc_orth,fr,bias2,0.12080720067024231,25600,1
posthoc_orth,fr,var,0.01288691721856594,25600,1
posthoc_orth,fz,mspe,0.01983681134879589,25600,1
posthoc_orth,fz,bias2,0.019696595147252083,25600,1
posthoc_orth,fz,var,0.00014021582319401205,25600,1
base,y,mspe,0.9980037212371826,25600,16
base,y,bias2,0.9954286217689514,25600,16
base,y,var,0.0025750226341187954,25600,16
base,fx,mspe,0.08065997064113617,25600,16
base,fx,bias2,0.07857474684715271,25600,16
base,fx,var,0.0020852251909673214,25600,16
base,fr,mspe,0.17760898172855377,25600,16
base,fr,bias2,0.1755237579345703,25600,16
base,fr,var,0.0020852251909673214,25600,16
base,fz,mspe,0.08544507622718811,25600,16
base,fz,bias2,0.08544507622718811,25600,16
base,fz,var,0.0,25600,16
posthoc,y,mspe,0.9879089593887329,25600,16
posthoc,y,bias2,0.9840002655982971,25600,16
posthoc,y,var,0.00390871474519372,25600,16
posthoc,fx,mspe,0.012554106302559376,25600,16
posthoc,fx,bias2,0.007943344302475452,25600,16
posthoc,fx,var,0.004610762000083923,25600,16
posthoc,fr,mspe,0.047967396676540375,25600,16
posthoc,fr,bias2,0.04335663467645645,25600,16
posthoc,fr,var,0.004610762000083923,25600,16
posthoc,fz,mspe,0.011541600339114666,25600,16
posthoc,fz,bias2,0.005847619846463203,25600,16
posthoc,fz,var,0.0056939804926514626,25600,16
posthoc_orth,y,mspe,0.9879112839698792,25600,16
posthoc_orth,y,bias2,0.9840031266212463,25600,16
posthoc_orth,y,var,0.003908175975084305,25600,16
posthoc_orth,fx,mspe,0.024562707170844078,25600,16
posthoc_orth,fx,bias2,0.023034563288092613,25600,16
posthoc_orth,fx,var,0.0015281429514288902,25600,16
posthoc_orth,fr,mspe,1.8627684116363525,25600,16
posthoc_orth,fr,bias2,1.756892442703247,25600,16
posthoc_orth,fr,var,0.1058759093284607,25600,16
posthoc_orth,fz,mspe,0.024627266451716423,25600,16
posthoc_orth,fz,bias2,0.021991224959492683,25600,16
posthoc_orth,fz,var,0.002636044519022107,25600,16
base,y,mspe,0.9616386890411377,25600,2
base,y,bias2,0.9606364369392395,25600,2
base,y,var,0.0010022522183135152,25600,2
base,fx,mspe,0.07603683322668076,25600,2
base,fx,bias2,0.07526817172765732,25600,2
base,fx,var,0.0007686567259952426,25600,2
base,fr,mspe,0.1749315857887268,25600,2
base,fr,bias2,0.17416293919086456,25600,2
base,fr,var,0.0007686567259952426,25600,2
base,fz,mspe,0.08510036766529083,25600,2
base,fz,bias2,0.08510036766529083,25600,2
base,fz,var,0.0,25600,2
posthoc,y,mspe,0.9570320248603821,25600,2
posthoc,y,bias2,0.9555757641792297,25600,2
posthoc,y,var,0.0014562379801645875,25600,2
posthoc,fx,mspe,0.0061346543952822685,25600,2
posthoc,fx,bias2,0.0025568411219865084,25600,2
posthoc,fx,var,0.0035778123419731855,25600,2
posthoc,fr,mspe,0.039344657212495804,25600,2
posthoc,fr,bias2,0.0357668437063694,25600,2
posthoc,fr,var,0.0035778123419731855,25600,2
posthoc,fz,mspe,0.005388207267969847,25600,2
posthoc,fz,bias2,0.0025237705558538437,25600,2
posthoc,fz,var,0.0028644364792853594,25600,2
posthoc_orth,y,mspe,0.9570315480232239,25600,2
posthoc_orth,y,bias2,0.9555776119232178,25600,2
posthoc_orth,y,var,0.001453848322853446,25600,2
posthoc_orth,fx,mspe,0.022734487429261208,25600,2
posthoc_orth,fx,bias2,0.021618638187646866,25600,2
posthoc_orth,fx,var,0.0011158467968925834,25600,2
posthoc_orth,fr,mspe,0.2592346966266632,25600,2
posthoc_orth,fr,bias2,0.2432296872138977,25600,2
posthoc_orth,fr,var,0.016004981473088264,25600,2
posthoc_orth,fz,mspe,0.02049398422241211,25600,2
posthoc_orth,fz,bias2,0.02016396075487137,25600,2
posthoc_orth,fz,var,0.0003300239040981978,25600,2
base,y,mspe,1.078180193901062,25600,4
base,y,bias2,1.0768405199050903,25600,4
base,y,var,0.001339584938250482,25600,4
base,fx,mspe,0.06953710317611694,25600,4
base,fx,bias2,0.06847408413887024,25600,4
base,fx,var,0.0010630207834765315,25600,4
base,fr,mspe,0.16173458099365234,25600,4
base,fr,bias2,0.16067153215408325,25600,4
base,fr,var,0.0010630207834765315,25600,4
base,fz,mspe,0.08119609206914902,25600,4
base,fz,bias2,0.08119609206914902,25600,4
