model,effect,metric,value,cv1,n
posthoc_orth,fx,mspe,0.021326586604118347,0.7,12800
posthoc_orth,fx,bias2,0.01972903683781624,0.7,12800
posthoc_orth,fx,var,0.0015975486021488905,0.7,12800
posthoc_orth,fr,mspe,0.10660083591938019,0.7,12800
posthoc_orth,fr,bias2,0.09622130542993546,0.7,12800
posthoc_orth,fr,var,0.010379534214735031,0.7,12800
posthoc_orth,fz,mspe,0.019875608384609222,0.7,12800
posthoc_orth,fz,bias2,0.01965896040201187,0.7,12800
posthoc_orth,fz,var,0.00021664611995220184,0.7,12800
base,y,mspe,1.0176186561584473,0.8,12800
base,y,bias2,1.0165690183639526,0.8,12800
base,y,var,0.0010496063623577356,0.8,12800
base,fx,mspe,0.07368128001689911,0.8,12800
base,fx,bias2,0.07287733256816864,0.8,12800
base,fx,var,0.0008039437816478312,0.8,12800
base,fr,mspe,0.16621503233909607,0.8,12800
base,fr,bias2,0.1654110848903656,0.8,12800
base,fr,var,0.0008039437816478312,0.8,12800
base,fz,mspe,0.07795459032058716,0.8,12800
base,fz,bias2,0.07795459032058716,0.8,12800
base,fz,var,0.0,0.8,12800
posthoc,y,mspe,1.0056581497192383,0.8,12800
posthoc,y,bias2,1.0037667751312256,0.8,12800
posthoc,y,var,0.001891417196020484,0.8,12800
posthoc,fx,mspe,0.008032334968447685,0.8,12800
posthoc,fx,bias2,0.0010201344266533852,0.8,12800
posthoc,fx,var,0.007012201007455587,0.8,12800
posthoc,fr,mspe,0.03491273894906044,0.8,12800
posthoc,fr,bias2,0.027900539338588715,0.8,12800
posthoc,fr,var,0.007012201007455587,0.8,12800
posthoc,fz,mspe,0.00678874971345067,0.8,12800
posthoc,fz,bias2,0.0006540588801726699,0.8,12800
posthoc,fz,var,0.006134690251201391,0.8,12800
posthoc_orth,y,mspe,1.0056588649749756,0.8,12800
posthoc_orth,y,bias2,1.00376558303833,0.8,12800
posthoc_orth,y,var,0.0018933563260361552,0.8,12800
posthoc_orth,fx,mspe,0.02124454453587532,0.8,12800
posthoc_orth,fx,bias2,0.019725210964679718,0.8,12800
posthoc_orth,fx,var,0.001519335201010108,0.8,12800
posthoc_orth,fr,mspe,0.1387854516506195,0.8,12800
posthoc_orth,fr,bias2,0.1150013729929924,0.8,12800
posthoc_orth,fr,var,0.023784078657627106,0.8,12800
posthoc_orth,fz,mspe,0.019875606521964073,0.8,12800
posthoc_orth,fz,bias2,0.01965896040201187,0.8,12800
posthoc_orth,fz,var,0.00021664646919816732,0.8,12800
base,y,mspe,1.009516716003418,0.9,12800
base,y,bias2,1.0084259510040283,0.9,12800
base,y,var,0.001090747769922018,0.9,12800
base,fx,mspe,0.07781890034675598,0.9,12800
base,fx,bias2,0.07697875052690506,0.9,12800
base,fx,var,0.0008401493541896343,0.9,12800
base,fr,mspe,0.17408277094364166,0.9,12800
base,fr,bias2,0.17324262857437134,0.9,12800
base,fr,var,0.0008401493541896343,0.9,12800
base,fz,mspe,0.07795459032058716,0.9,12800
base,fz,bias2,0.07795459032058716,0.9,12800
base,fz,var,0.0,0.9,12800
posthoc,y,mspe,1.005461573600769,0.9,12800
posthoc,y,bias2,1.0038048028945923,0.9,12800
posthoc,y,var,0.001656835782341659,0.9,12800
posthoc,fx,mspe,0.028244400396943092,0.9,12800
posthoc,fx,bias2,0.00869229156523943,0.9,12800
posthoc,fx,var,0.019552109763026237,0.9,12800
posthoc,fr,mspe,0.07317771762609482,0.9,12800
posthoc,fr,bias2,0.05362560227513313,0.9,12800
posthoc,fr,var,0.019552109763026237,0.9,12800
posthoc,fz,mspe,0.026895904913544655,0.9,12800
posthoc,fz,bias2,0.008107555098831654,0.9,12800
posthoc,fz,var,0.018788348883390427,0.9,12800
posthoc_orth,y,mspe,1.0054620504379272,0.9,12800
posthoc_orth,y,bias2,1.003807783126831,0.9,12800
posthoc_orth,y,var,0.001654240651987493,0.9,12800
posthoc_orth,fx,mspe,0.021016154438257217,0.9,12800
posthoc_orth,fx,bias2,0.019739575684070587,0.9,12800
posthoc_orth,fx,var,0.0012765765422955155,0.9,12800
posthoc_orth,fr,mspe,0.29744216799736023,0.9,12800
posthoc_orth,fr,bias2,0.2216930240392685,0.9,12800
posthoc_orth,fr,var,0.07574913650751114,0.9,12800
posthoc_orth,fz,mspe,0.019875608384609222,0.9,12800
posthoc_orth,fz,bias2,0.01965896040201187,0.9,12800
posthoc_orth,fz,var,0.00021664684754796326,0.9,12800
base,y,mspe,1.0047783851623535,1.0,12800
base,y,bias2,1.0038050413131714,1.0,12800
base,y,var,0.0009734548511914909,1.0,12800
base,fx,mspe,0.07962016761302948,1.0,12800
base,fx,bias2,0.07883725315332413,1.0,12800
base,fx,var,0.0007829078822396696,1.0,12800
base,fr,mspe,0.1772635579109192,1.0,12800
base,fr,bias2,0.17648065090179443,1.0,12800
base,fr,var,0.0007829078822396696,1.0,12800
base,fz,mspe,0.07795459032058716,1.0,12800
base,fz,bias2,0.07795459032058716,1.0,12800
base,fz,var,0.0,1.0,12800
posthoc,y,mspe,1.0042979717254639,1.0,12800
posthoc,y,bias2,1.0027649402618408,1.0,12800
posthoc,y,var,0.0015331186586990952,1.0,12800
posthoc,fx,mspe,0.07883985340595245,1.0,12800
posthoc,fx,bias2,0.03754429519176483,1.0,12800
posthoc,fx,var,0.04129554703831673,1.0,12800
posthoc,fr,mspe,0.15220527350902557,1.0,12800
posthoc,fr,bias2,0.11090972274541855,1.0,12800
posthoc,fr,var,0.04129554703831673,1.0,12800
posthoc,fz,mspe,0.07696042954921722,1.0,12800
posthoc,fz,bias2,0.036831360310316086,1.0,12800
posthoc,fz,var,0.04012906923890114,1.0,12800
posthoc_orth,y,mspe,1.0042808055877686,1.0,12800
posthoc_orth,y,bias2,1.0027412176132202,1.0,12800
posthoc_orth,y,var,0.0015396117232739925,1.0,12800
posthoc_orth,fx,mspe,0.020831026136875153,1.0,12800
posthoc_orth,fx,bias2,0.019672958180308342,1.0,12800
posthoc_orth,fx,var,0.001158067723736167,1.0,12800
posthoc_orth,fr,mspe,0.5780189037322998,1.0,12800
posthoc_orth,fr,bias2,0.43194541335105896,1.0,12800
posthoc_orth,fr,var,0.14607347548007965,1.0,12800
posthoc_orth,fz,mspe,0.019875604659318924,1.0,12800
posthoc_orth,fz,bias2,0.019658958539366722,1.0,12800
posthoc_orth,fz,var,0.00021664514497388154,1.0,12800
base,y,mspe,1.0670684576034546,0.0,1600
base,y,bias2,1.0618339776992798,0.0,1600
base,y,var,0.005234398879110813,0.0,1600
base,fx,mspe,0.038543347269296646,0.0,1600
base,fx,bias2,0.034010209143161774,0.0,1600
base,fx,var,0.004533141385763884,0.0,1600
base,fr,mspe,0.09265071898698807,0.0,1600
base,fr,bias2,0.0881175771355629,0.0,1600
base,fr,var,0.004533141385763884,0.0,1600
base,fz,mspe,0.07795459032058716,0.0,1600
base,fz,bias2,0.07795459032058716,0.0,1600
base,fz,var,0.0,0.0,1600
posthoc,y,mspe,1.0161707401275635,0.0,1600
posthoc,y,bias2,1.0039422512054443,0.0,1600
posthoc,y,var,0.012228496372699738,0.0,1600
posthoc,fx,mspe,0.010727839544415474,0.0,1600
posthoc,fx,bias2,0.0015037086559459567,0.0,1600
posthoc,fx,var,0.009224130772054195,0.0,1600
posthoc,fr,mspe,0.03148648887872696,0.0,1600
posthoc,fr,bias2,0.02226235717535019,0.0,1600
posthoc,fr,var,0.009224130772054195,0.0,1600
posthoc,fz,mspe,0.003229855326935649,0.0,1600
posthoc,fz,bias2,9.307488653576002e-06,0.0,1600
posthoc,fz,var,0.003220547689124942,0.0,1600
posthoc_orth,y,mspe,1.0161727666854858,0.0,1600
posthoc_orth,y,bias2,1.0039379596710205,0.0,1600
posthoc_orth,y,var,0.01223475020378828,0.0,1600
posthoc_orth,fx,mspe,0.029417462646961212,0.0,1600
posthoc_orth,fx,bias2,0.02125919610261917,0.0,1600
posthoc_orth,fx,var,0.008158263750374317,0.0,1600
posthoc_orth,fr,mspe,0.10422393679618835,0.0,1600
posthoc_orth,fr,bias2,0.08862478286027908,0.0,1600
posthoc_orth,fr,var,0.015599152073264122,0.0,1600
posthoc_orth,fz,mspe,0.024358443915843964,0.0,1600
posthoc_orth,fz,bias2,0.021660091355443,0.0,1600
posthoc_orth,fz,var,0.0026983553543686867,0.0,1600
base,y,mspe,1.0686794519424438,0.1,1600
base,y,bias2,1.0631699562072754,0.1,1600
base,y,var,0.005509514827281237,0.1,1600
base,fx,mspe,0.038435567170381546,0.1,1600
base,fx,bias2,0.03363769128918648,0.1,1600
base,fx,var,0.004797876346856356,0.1,1600
base,fr,mspe,0.09253943711519241,0.1,1600
base,fr,bias2,0.08774156868457794,0.1,1600
base,fr,var,0.004797876346856356,0.1,1600
base,fz,mspe,0.07795459032058716,0.1,1600
base,fz,bias2,0.07795459032058716,0.1,1600
base,fz,var,0.0,0.1,1600
posthoc,y,mspe,1.0161411762237549,0.1,1600
posthoc,y,bias2,1.0037550926208496,0.1,1600
posthoc,y,var,0.012386143207550049,0.1,1600
posthoc,fx,mspe,0.010899534448981285,0.1,1600
posthoc,fx,bias2,0.0015312879113480449,0.1,1600
posthoc,fx,var,0.009368246421217918,0.1,1600
posthoc,fr,mspe,0.03132423013448715,0.1,1600
posthoc,fr,bias2,0.021955981850624084,0.1,1600
posthoc,fr,var,0.009368246421217918,0.1,1600
posthoc,fz,mspe,0.003333557862788439,0.1,1600
posthoc,fz,bias2,1.4592759725928772e-05,0.1,1600
posthoc,fz,var,0.0033189652021974325,0.1,1600
posthoc_orth,y,mspe,1.0161387920379639,0.1,1600
posthoc_orth,y,bias2,1.0037537813186646,0.1,1600
posthoc_orth,y,var,0.012384998612105846,0.1,1600
posthoc_orth,fx,mspe,0.029647264629602432,0.1,1600
posthoc_orth,fx,bias2,0.02133588120341301,0.1,1600
posthoc_orth,fx,var,0.008311383426189423,0.1,1600
posthoc_orth,fr,mspe,0.10329738259315491,0.1,1600
posthoc_orth,fr,bias2,0.08754850178956985,0.1,1600
posthoc_orth,fr,var,0.015748880803585052,0.1,1600
posthoc_orth,fz,mspe,0.024358440190553665,0.1,1600
posthoc_orth,fz,bias2,0.021660087630152702,0.1,1600
posthoc_orth,fz,var,0.0026983546558767557,0.1,1600
base,y,mspe,1.0690703392028809,0.2,1600
base,y,bias2,1.0638353824615479,0.2,1600
base,y,var,0.005234884098172188,0.2,1600
base,fx,mspe,0.03963501751422882,0.2,1600
base,fx,bias2,0.035124272108078,0.2,1600
base,fx,var,0.004510747268795967,0.2,1600
base,fr,mspe,0.0950888991355896,0.2,1600
base,fr,bias2,0.09057815372943878,0.2,1600
base,fr,var,0.004510747268795967,0.2,1600
base,fz,mspe,0.07795459032058716,0.2,1600
base,fz,bias2,0.07795459032058716,0.2,1600
base,fz,var,0.0,0.2,1600
posthoc,y,mspe,1.0171595811843872,0.2,1600
posthoc,y,bias2,1.0038241147994995,0.2,1600
posthoc,y,var,0.013335490599274635,0.2,1600
posthoc,fx,mspe,0.011676747351884842,0.2,1600
posthoc,fx,bias2,0.0012563902419060469,0.2,1600
posthoc,fx,var,0.010420357808470726,0.2,1600
posthoc,fr,mspe,0.03249140828847885,0.2,1600
posthoc,fr,bias2,0.022071052342653275,0.2,1600
posthoc,fr,var,0.010420357808470726,0.2,1600
posthoc,fz,mspe,0.0033232069108635187,0.2,1600
posthoc,fz,bias2,8.256436558440328e-06,0.2,1600
posthoc,fz,var,0.003314950503408909,0.2,1600
posthoc_orth,y,mspe,1.0171399116516113,0.2,1600
posthoc_orth,y,bias2,1.0038163661956787,0.2,1600
posthoc_orth,y,var,0.013323620893061161,0.2,1600
posthoc_orth,fx,mspe,0.030236482620239258,0.2,1600
posthoc_orth,fx,bias2,0.020989298820495605,0.2,1600
posthoc_orth,fx,var,0.009247186593711376,0.2,1600
posthoc_orth,fr,mspe,0.10543394088745117,0.2,1600
posthoc_orth,fr,bias2,0.08837202191352844,0.2,1600
posthoc_orth,fr,var,0.01706192083656788,0.2,1600
posthoc_orth,fz,mspe,0.024358443915843964,0.2,1600
posthoc_orth,fz,bias2,0.02166008949279785,0.2,1600
posthoc_orth,fz,var,0.0026983553543686867,0.2,1600
base,y,mspe,1.0686004161834717,0.3,1600
base,y,bias2,1.0634071826934814,0.3,1600
base,y,var,0.005193245597183704,0.3,1600
base,fx,mspe,0.04145403951406479,0.3,1600
base,fx,bias2,0.037004005163908005,0.3,1600
base,fx,var,0.004450034815818071,0.3,1600
base,fr,mspe,0.09903278201818466,0.3,1600
base,fr,bias2,0.09458275139331818,0.3,1600
base,fr,var,0.004450034815818071,0.3,1600
